price,year,mileage,location,tax,seller_type,model
"Rp10,500,000",2015,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA NEW VARIO TECHNO
"Rp19,900,000",2019,"30,000 km",Tulangan,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,100,000",2022,"15,000 km",Gaharu,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp18,600,000",2017,"30,000 km",Tulangan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,100,000",2022,"15,000 km",Pasar Merah Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,950,000",2023,"7,500 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,500,000",2022,"15,000 km",Kota Tangerang,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp18,400,000",2018,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp19,200,000",2019,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp24,750,000",2024,"2,500 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp18,100,000",2018,"30,000 km",Percut,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,000,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp18,600,000",2020,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp21,800,000",2022,"15,000 km",Bubutan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,300,000",2021,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,600,000",2018,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
